storm_names,year,month,day,time,zone,lat_n,long_w,max_winds_kts,SS,pre_lat,pre_long,sub_lat,sub_long,dir,sp1,sp2,frame,hours,eff_wind_sp,angle_binary,direct,angled,cross,press_mbars,max_sust_winds_kts,width_storm,storm_surge,storm_tide,moon_phase,tide_phase,low_neap,high_neap,high_ebb,high_tide_line,low_tide_line,rate_rainfall,total_rainfall,deaths,states_affected,damage_unadj,col_index,infaltion_adj,norm_cost
Bob,1985,7,25,300,UTC,32.2,80.5,65,1,31.6,80.51,32.89,80.7,81.62,1.42456090,90.0315692,6,(3 Hours)***,15.00526153,Angled,0,1,0,1003,65,,,,7,High Neap,0,1,0,7.5,-0.6,,,0,South Carolina,25,98.3000,,
Danny,1985,8,15,1630,UTC,29.6,92.7,80,1,28.91,92.6,31,92.4,-84.53,-1.47539305,-144.9674611,12,(6 Hour),12.08062176,Direct,1,0,0,987,80,,,8,27,Low Ebb,0,0,0,1.9,-0.4,,,1,Louisiana,50,93.6000,,
Elena,1985,9,2,1300,UTC,30.4,89.2,100,3,29.7,87.29,31,90.41,22.62,0.39479112,233.37886,12,(6 Hour),19.44823833,Angled,0,1,0,959,100,,10,,16,High Neap,0,1,0,1.4,1,,,4,"Alabama, Mississippi, Florida",1300,91.3667,,
Gloria,1985,9,27,530,UTC,35.2,75.6,90,2,33.19,76,38.39,74.53,-74.21,-1.29529280,-373.1151919,12,(6 Hour),31.09293266,Indirect,0,0,0,942,90,,,,12,Low Neap,1,0,0,1.3,0.3,,,,North Carolina,,94.0000,,
Gloria,1985,9,27,1600,UTC,40.6,73.3,75,1,38.39,74.53,41.92,72.8,-63.89,-1.11511214,-271.4328817,6,(3 Hours)***,45.23881362,Angled,0,1,0,961,75,,,,12,Low Ebb,0,0,0,3,0.2,,,,"New York, Connecticut, New Hampshire, Maine",,122.7500,,
Juan,1985,10,29,1100,UTC,29.5,91.4,75,1,28.99,91.9,30.3,91.89,-89.56,-1.56316289,-90.45420534,12,(6 Hour),7.537850445,Direct,1,0,0,971,65,,8.2,,14,Low Ebb,0,0,0,0.5,0,,,12,Louisiana,1500,93.6000,,
Kate,1985,11,21,2230,UTC,30,85.4,85,2,29.19,86.11,31.52,83.5,-41.76,-0.72877858,-241.575709,12,(6 Hour),20.13130908,Direct,1,0,0,967,85,,11,,8,High Ebb,0,0,1,0.9,0.4,,,,"Florida, Georgia",,95.0500,,
Bonnie,1986,6,26,900,UTC,29.5,94,75,1,29,93.7,30.9,94.7,62.24,1.08631840,148.2501961,12,(6 Hour),12.35418301,Direct,1,0,0,990,75,,5.2,,18,Low Neap,1,0,0,1,-0.1,,,3,Texas,2,91.3000,,
Charley,1986,8,17,1400,UTC,34.7,76.5,65,1,33.7,76.9,35.4,76.2,-67.62,-1.18018928,-126.941365,12,(6 Hour),10.57844708,Angled,0,1,0,990,65,,,,11,Low Neap,1,0,0,4,0,,,5,North Carolina,15,94.0000,,
Floyd,1987,10,12,2100,UTC,25.1,80.5,65,1,24.71,81.5,25.3,79.9,-20.24,-0.35327999,-117.7469,6,(3 Hours)***,19.62448333,Cross,0,0,1,993,65,,4,,19,Low Neap,1,0,0,2.4,1,,,0,"Florida, Georgia",1,95.0500,,
