storm_names,eff_land_sp,direct,angled,cross,press_mbars,max_sust_winds_kts,storm_surge,storm_tide,moon_phase,low_neap,high_neap,high_ebb,high_tide_line,low_tide_line,norm_cost,cost_category
Bob,15.00526153,0,1,0,1003,65,0,0,7,0,1,0,7.5,-0.6,596353.2181,moderate
Danny,12.08062176,1,0,0,987,80,0,8,27,0,0,0,1.9,-0.4,1250276.986,high
Elena,19.44823833,0,1,0,959,100,10,0,16,0,1,0,1.4,1,33209534.92,severe
Gloria,31.09293266,0,0,0,942,90,0,0,12,1,0,0,1.3,0.3,0,minimal
Gloria,45.23881362,0,1,0,961,75,0,0,12,0,0,0,3,0.2,0,minimal
Juan,7.537850445,1,0,0,971,65,8.2,0,14,0,0,0,0.5,0,37266765.74,severe
Kate,20.13130908,1,0,0,967,85,11,0,8,0,0,1,0.9,0.4,0,minimal
Bonnie,12.35418301,1,0,0,990,75,5.2,0,18,1,0,0,1,-0.1,50568.60068,low
Charley,10.57844708,0,1,0,990,65,0,0,11,1,0,0,4,0,367699.1408,moderate
Floyd,19.62448333,0,0,1,993,65,4,0,19,1,0,0,2.4,1,23065.05044,low
Florence,13.54311138,1,0,0,984,70,6,0,26,0,0,1,0.1,0.1,45085.11337,low
Chantal,8.630875,1,0,0,986,70,0,7,27,0,0,1,1.5,-0.1,2222015.158,high
Hugo,29.36753071,1,0,0,934,120,0,0,21,0,0,1,5,0.6,189286240.2,catastrophic
Jerry,13.34611017,1,0,0,983,75,0,7,15,0,0,1,1.7,0.1,1543026.768,high
Bob,34.3166986,0,1,0,962,90,0,0,9,0,0,1,3.6,1.2,21318930.44,severe
Bob,26.29231428,0,0,1,977,60,0,0,9,0,0,0,8.5,1.1,0,minimal
Andrew,21.98568471,1,0,0,922,145,0,13.12,24,0,0,0,2.2,0.1,489770154.5,catastrophic
Andrew,11.33390141,1,0,0,956,120,0,10.17,26,0,0,1,0.6,0.3,0,minimal
Danielle,7.568095773,0,0,1,1007,55,0,0,26,0,0,1,4.9,-0.2,0,minimal
Arlene,7.278192853,1,0,0,1001,35,0,4.5,0,0,0,1,1.5,-0.8,421813.5701,moderate
Alberto,10.29291904,1,0,0,993,55,0,5,23,0,0,0,1.4,0.1,8611437.402,high
Beryl,3.684304327,1,0,0,1000,50,2.9,0,9,0,1,0,1.7,0.1,1252207.029,high
Gordon,9.437125004,1,0,0,999,45,0,4,11,1,0,0,2.4,0.8,6829324.304,high
Allison,16.35570422,0,0,1,991,55,8,0,6,1,0,0,3.1,1.6,28491.71708,low
Dean,10.06524339,1,0,0,999,40,0,0,3,1,0,0,1.4,0.3,7261.982655,minimal
Erin,18.28623323,0,1,0,984,75,0,6.56,5,0,0,0,2.5,0.2,11701191.85,severe
Erin,12.77576832,0,1,0,973,75,0,0,6,0,0,0,1.2,0.4,11701191.85,severe
