storm_names,year,month,day,Max Radii,Point Maxima,Rain Rate
Bob,1985,7,25,NA,21.5,6.2645
Danny,1985,8,15,NA,9.8,4.9425
Elena,1985,9,2,NA,15.67,NA
Gloria,1985,9,27,NA,9.7,3.215
Gloria,1985,9,27,NA,9.7,3.215
Juan,1985,10,29,NA,17.78,NA
Kate,1985,11,21,NA,8.32,3.1938
Bonnie,1986,6,26,NA,13,5.365
Charley,1986,8,17,NA,8.61,2.0842
Floyd,1987,10,12,NA,10.07,2.99
Florence,1988,9,9,150,10.67,2.6504
Chantal,1989,8,1,100,20,3.002
Hugo,1989,9,22,225,10.28,3.276
Jerry,1989,10,16,125,6.71,3.4277
Bob,1991,8,19,100,8.24,3.104
Bob,1991,8,20,150,8.24,3.104
Andrew,1992,8,24,120,13.98,3.6511
Andrew,1992,8,26,120,13.98,3.6511
Danielle,1992,9,25,125,4.2,3.355
Arlene,1993,6,20,75,15.26,3.7296
Alberto,1994,7,3,90,27.85,4.144
Beryl,1994,8,16,75,17.45,4.8381
Gordon,1994,11,15,175,16.1,2.3067
Allison,1995,6,5,125,9.1,4.8081
Dean,1995,7,31,NA,17.6,4.0331
Erin,1995,8,2,125,20,5.771
Erin,1995,8,3,75,20,5.771
Jerry,1995,8,23,100,18.33,2.2384
Opal,1995,10,4,225,19.42,5.6696
Arthur,1996,6,20,75,5.85,3.6247
Bertha,1996,7,12,200,9.2,4.944
Fran,1996,9,6,250,16,3.6577
Josephine,1996,10,8,300,11.39,2.2965
Danny,1997,7,18,100,36.71,3.6419
Danny,1997,7,19,60,36.71,3.6419
Bonnie,1998,8,27,200,14.61,1.8803
Charley,1998,8,22,175,19.05,2.282
Earl,1998,9,3,175,16.36,2.2005
Frances,1998,9,11,250,22.39,3.5509
Georges,1998,9,25,150,38.46,2.7787
Georges,1998,9,28,150,38.46,2.7787
Hermine,1998,9,20,75,14.14,2.7334
Mitch,1998,11,5,175,11.2,2.6201
Bret,1999,8,23,105,13.18,2.9233
Dennis,1999,9,4,150,19.91,2.9699
Floyd,1999,9,16,200,24.06,3.2177
Harvey,1999,9,21,100,10.24,2.9676
Irene,1999,10,15,150,17.45,1.9325
Gordon,2000,9,18,125,9.48,2.4845
Helene,2000,9,22,75,9.6,5.3463
Allison,2001,6,5,175,40.68,4.9226
Barry,2001,8,6,120,11.7,2.3485
Gabrielle,2001,9,14,125,15.1,2.0982
Bertha,2002,8,5,50,10.25,1.7324
Edouard,2002,9,3,75,7.64,2.3923
Fay,2002,9,7,120,18.49,1.6573
Hanna,2002,9,14,125,15.56,3.5285
Isidore,2002,9,26,300,18.5,4.9181
Kyle,2002,10,11,40,8.72,3.9127
Lili,2002,10,3,170,8.4,2.6844
Bill,2003,6,30,125,10.2,4.4352
Claudette,2003,7,15,150,6.62,3.6691
Grace,2003,8,31,180,10.36,6.9718
Isabel,2003,9,18,300,20.2,4.3442
Bonnie,2004,8,12,60,6.07,3.3881
Charley,2004,8,13,75,9.88,3.4786
Charley,2004,8,14,100,9.88,3.4786
Frances,2004,9,5,175,23.57,4.6868
Frances,2004,9,6,90,23.57,4.6868
Gaston,2004,8,29,50,12.6,3.6076
Hermine,2004,8,31,25,0.5,3.532
Ivan,2004,9,16,250,17,4.8253
Jeanne,2004,9,26,180,11.97,3.1109
Matthew,2004,10,10,100,16.23,3.6416
Arlene,2005,6,11,100,9.84,4.6552
Cindy,2005,7,6,90,9.5,4.3851
Dennis,2005,7,10,175,12.8,4.9007
Katrina,2005,8,25,70,16.43,4.3344
Katrina,2005,8,29,200,14.82,4.3344
Rita,2005,9,24,180,16,3.7868
Tammy,2005,10,5,290,14.48,4.2243
Wilma,2005,10,24,200,13.26,2.3916
Alberto,2006,6,13,100,7.16,2.2835
Beryl,2006,7,21,75,0.97,2.5726
Ernesto,2006,8,30,90,14.61,4.8527
Ernesto,2006,9,1,125,14.61,4.8527
Gabrielle,2007,9,9,40,9.03,3.5976
Humberto,2007,9,13,50,14.13,3.2374
Dolly,2008,7,23,120,15,3.8609
Edouard,2008,8,5,60,6.48,3.0694
Fay,2008,8,19,110,27.65,4.975
Gustav,2008,9,1,175,21,4.5427
Hanna,2008,9,6,175,16.19,5.2011
Ike,2008,9,13,225,17.6,5.0335
Claudette,2009,8,17,60,5.88,4.0121
Bonnie,2010,7,23,75,5.75,4.0175
Irene,2011,8,27,225,15.74,3.1588
Irene,2011,8,28,280,22.04,3.1588
Lee,2011,9,4,225,20.96,5.9266
Beryl,2012,5,28,100,15,NA
Debby,2012,6,26,150,28.78,NA
Isaac,2012,8,29,180,26.71,NA
Sandy,2012,10,29,460,12.83,NA
Andrea,2013,6,6,120,14.27,NA
Arthur,2014,7,4,130,8.73,NA
Ana,2015,5,10,110,6.89,NA
Bill,2015,6,16,130,15.11,NA
Colin,2016,6,7,200,17.54,NA
Hermine,2016,9,2,150,22.36,NA
Cindy,2017,6,22,100,18.69,NA
Emily,2017,7,31,50,7.19,NA
Harvey,2017,8,26,120,60.58,NA
Harvey,2017,8,30,70,60.58,NA
Irma,2017,9,10,270,21.66,NA
Nate,2017,10,8,100,9.93,NA
