,Storm,Dates,Max Winds (mph),Min Pressure (mb),Deaths,Damage (millions USD),US Landfall Category,Year
0,Ana,07/15-07/19,70,996,0.0,0,No US Landfall,1985
1,Bob,07/21-07/26,75,1002,0.0,25,Category 1 Hurricane,1985
2,Claudette,08/09-08/17,85,980,0.0,0,No US Landfall,1985
3,Danny,08/12-08/20,90,988,1.0,50,Category 1 Hurricane,1985
4, Hurricane Elena,08/28-09/04,125,953,4.0,1250,Category 3 Hurricane,1985
5,Fabian,09/15-09/19,65,994,0.0,0,No US Landfall,1985
6, Hurricane Gloria,09/16-10/02,145,920,8.0,900,Category 3 Hurricane,1985
7,,09/21-09/25,60,996,0.0,0,Tropical Storm,1985
8,Isabel,10/07-10/15,70,997,180.0,0,Tropical Storm,1985
9,Juan,10/26-11/01,85,971,12.0,1500,Category 1 Hurricane,1985
10, Hurricane Kate,11/15-11/23,120,954,5.0,0,Category 2 Hurricane,1985
0,Andrew,06/05-06/08,50,999,1.0,0,No US Landfall,1986
1,Bonnie,06/23-06/28,85,992,3.0,2,Category 1 Hurricane,1986
2,Charley,08/13-08/30,80,980,5.0,15,Category 1 Hurricane,1986
3,Danielle,09/07-09/10,60,1000,0.0,0,No US Landfall,1986
4,Earl,09/10-09/20,105,979,0.0,0,No US Landfall,1986
5,Frances,11/18-11/21,85,1000,0.0,0,No US Landfall,1986
0,1,08/09-08/17,45,1007,0.0,7,Tropical Storm,1987
1,Arlene,08/08-08/28,75,987,0.0,0,No US Landfall,1987
2,Bret,08/18-08/24,50,1000,0.0,0,No US Landfall,1987
3,Cindy,09/05-09/10,50,1000,0.0,0,No US Landfall,1987
4,Dennis,09/08-09/20,50,1000,3.0,0,No US Landfall,1987
5, Hurricane Emily,09/20-09/26,125,958,0.0,0,No US Landfall,1987
6,Floyd,10/09-10/14,75,993,0.0,1,Category 1 Hurricane,1987
0,Alberto,08/05-08/08,40,1002,0.0,0,No US Landfall,1988
1,Beryl,08/08-08/10,50,1001,1.0,3,Tropical Storm,1988
2,Chris,08/21-08/30,50,1005,4.0,1,Tropical Storm,1988
3,Debby,08/31-09/08,75,987,10.0,0,No US Landfall,1988
4,Ernesto,09/03-09/05,65,994,0.0,0,No US Landfall,1988
5,6,09/07-09/10,60,994,0.0,0,No US Landfall,1988
6,Florence,09/07-09/11,80,983,1.0,2,Category 1 Hurricane,1988
7, Hurricane Gilbert,09/08-09/20,185,888,327.0,50,No US Landfall,1988
8, Hurricane Helene,09/19-09/30,145,938,0.0,0,No US Landfall,1988
9,Isaac,09/28-10/01,45,1005,0.0,0,No US Landfall,1988
10, Hurricane Joan,10/10-10/23,145,932,216.0,0,No US Landfall,1988
11,Keith,11/17-11/26,75,945,0.0,3,Tropical Storm,1988
0,Allison,06/24-07/01,50,999,11.0,500,Tropical Storm,1989
1,Barry,07/09-07/14,50,1005,0.0,0,No US Landfall,1989
2,Chantal,07/30-08/03,80,984,13.0,100,Category 1 Hurricane,1989
3,Dean,07/31-08/09,105,968,0.0,0,No US Landfall,1989
4,Erin,08/18-08/27,105,968,0.0,0,No US Landfall,1989
5,Felix,08/26-09/10,85,979,0.0,0,No US Landfall,1989
6, Hurricane Gabrielle,08/30-09/13,145,937,8.0,0,No US Landfall,1989
7, Hurricane Hugo,09/10-09/25,160,918,56.0,7000,Category 4 Hurricane,1989
8,Iris,09/16-09/21,70,1001,0.0,0,No US Landfall,1989
9,Jerry,10/12-10/16,85,983,3.0,70,Category 1 Hurricane,1989
10,Karen,11/28-12/04,60,1000,0.0,0,No US Landfall,1989
0,Ana,06/29-07/05,50,1000,0.0,0,No US Landfall,1991
1, Hurricane Bob,08/16-08/29,115,950,17.0,1500,Category 2 Hurricane,1991
2, Hurricane Claudette,09/04-09/14,135,946,0.0,0,No US Landfall,1991
3,Danny,09/07-09/11,50,998,0.0,0,No US Landfall,1991
4,Erika,09/08-09/12,60,997,0.0,0,No US Landfall,1991
5,Fabian,10/15-10/17,45,1002,0.0,0,No US Landfall,1991
6,Grace,10/25-10/29,100,0,0.0,0,No US Landfall,1991
7,8,10/28-11/02,75,972,0.0,0,No US Landfall,1991
0,btropical Storm Unnamed Subtropical Storm 1,04/21-04/24,50,1002,0.0,0,No US Landfall,1992
1, Hurricane Andrew,08/16-08/28,175,922,26.0,26500,Category 5 Hurricane,1992
2,Bonnie,09/17-10/02,110,965,1.0,0,No US Landfall,1992
3,Charley,09/21-09/29,110,965,0.0,0,No US Landfall,1992
4,Danielle,09/22-09/26,65,1001,1.0,0,Tropical Storm,1992
5,Earl,09/26-10/03,65,990,0.0,0,No US Landfall,1992
6,Frances,10/22-10/30,85,976,0.0,0,No US Landfall,1992
0,Arlene,06/18-06/21,40,1000,6.0,22,Tropical Storm,1993
1,Bret,08/04-08/11,60,1002,184.0,0,No US Landfall,1993
2,Cindy,08/14-08/17,45,1007,4.0,0,No US Landfall,1993
3,Dennis,08/23-08/28,50,1000,0.0,0,No US Landfall,1993
4, Hurricane Emily,08/22-09/06,115,960,3.0,35,No US Landfall,1993
5,Floyd,09/07-09/13,80,966,0.0,0,No US Landfall,1993
6,Gert,09/14-09/21,100,970,76.0,0,No US Landfall,1993
7,vey,09/18-09/21,75,990,0.0,0,No US Landfall,1993
0,Alberto,06/30-07/07,65,993,30.0,500,Tropical Storm,1994
1,Beryl,08/14-08/19,60,1000,0.0,73,Tropical Storm,1994
2,Chris,08/16-08/23,80,979,0.0,0,No US Landfall,1994
3,Debby,09/09-09/11,70,1006,0.0,0,No US Landfall,1994
4,Ernesto,09/21-09/26,60,997,0.0,0,No US Landfall,1994
5,Florence,11/02-11/08,110,972,0.0,0,No US Landfall,1994
6,Gordon,11/08-11/21,85,980,1145.0,400,Tropical Storm,1994
0,Allison,06/03-06/11,75,982,3.0,1.7,Tropical Storm,1995
